titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media,trends_MX,trends_US,trends_CA,trends_CO,trends_BR,trends_latam_avg,popular_algún_país,cluster_trends
呪術廻戦 第2期,Jujutsu Kaisen 2nd Season,JUJUTSU KAISEN Season 2,2023-07-06,2023,SUMMER 2023,2,23.0,MAPPA,Action | Drama | Supernatural,Shounen,TV,FINISHED,454370,86.0,86.0,15.0,10.0,12.0,8.0,13.0,11.6,True,0
葬送のフリーレン,Sousou no Frieren,Frieren: Beyond Journey’s End,2023-09-29,2023,FALL 2023,2,28.0,MADHOUSE,Adventure | Drama | Fantasy,Shounen,TV,FINISHED,434823,91.0,91.0,0.0,3.0,0.0,0.0,0.0,0.6,False,1
俺だけレベルアップな件,Ore dake Level Up na Ken,Solo Leveling,2024-01-07,2024,WINTER 2024,2,12.0,A-1 Pictures,Action | Adventure | Fantasy,Unknown,TV,FINISHED,408254,81.0,81.0,14.0,16.0,17.0,14.0,12.0,14.6,True,0
ダンダダン,Dandadan,DAN DA DAN,2024-10-04,2024,FALL 2024,2,12.0,Science SARU,Action | Comedy | Drama | Romance | Sci-Fi | Supernatural,Shounen,TV,FINISHED,352133,83.0,83.0,39.0,20.0,14.0,43.0,19.0,27.0,True,2
鬼滅の刃 刀鍛冶の里編,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,2023-04-09,2023,SPRING 2023,2,11.0,ufotable,Action | Adventure | Drama | Fantasy | Supernatural,Shounen,TV,FINISHED,348988,81.0,81.0,0.0,2.0,0.0,0.0,0.0,0.4,False,1
地獄楽,Jigokuraku,Hell’s Paradise,2023-04-01,2023,SPRING 2023,2,13.0,MAPPA,Action | Adventure | Mystery | Supernatural,Shounen,TV,FINISHED,335032,80.0,80.0,0.0,8.0,0.0,0.0,0.0,1.6,False,1
【推しの子】,[Oshi no Ko],Oshi No Ko,2023-04-12,2023,SPRING 2023,2,11.0,Doga Kobo,Drama | Mystery | Psychological | Supernatural,Seinen,TV,FINISHED,309140,84.0,84.0,14.0,11.0,12.0,15.0,8.0,12.0,True,0
薬屋のひとりごと,Kusuriya no Hitorigoto,The Apothecary Diaries,2023-10-22,2023,FALL 2023,2,24.0,OLM | TOHO animation STUDIO,Drama | Mystery,Seinen,TV,FINISHED,290856,88.0,88.0,21.0,25.0,26.0,11.0,26.0,21.8,True,0
マッシュル-MASHLE-,MASHLE,MASHLE: MAGIC AND MUSCLES,2023-04-08,2023,SPRING 2023,2,12.0,A-1 Pictures,Action | Comedy | Fantasy,Shounen,TV,FINISHED,267953,76.0,76.0,13.0,23.0,8.0,5.0,9.0,11.6,True,0
怪獣８号,Kaijuu 8-gou,Kaiju No. 8,2024-04-13,2024,SPRING 2024,2,12.0,Production I.G,Action | Sci-Fi,Shounen,TV,FINISHED,260542,81.0,81.0,14.0,14.0,8.0,11.0,9.0,11.2,True,0
ヴィンランド・サガ SEASON2,VINLAND SAGA SEASON 2,Vinland Saga Season 2,2023-01-10,2023,WINTER 2023,1,24.0,MAPPA,Action | Adventure | Drama,Seinen,TV,FINISHED,255621,88.0,88.0,3.0,8.0,8.0,1.0,9.0,5.8,False,1
鬼滅の刃 柱稽古編,Kimetsu no Yaiba: Hashira Geiko-hen,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,2024-05-12,2024,SPRING 2024,1,8.0,ufotable,Action | Adventure | Drama | Fantasy | Supernatural,Shounen,TV,FINISHED,253302,80.0,80.0,0.0,2.0,0.0,0.0,1.0,0.6,False,1
無職転生Ⅱ ～異世界行ったら本気だす～,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,2023-07-03,2023,SUMMER 2023,2,13.0,Studio Bind,Adventure | Drama | Ecchi | Fantasy,Unknown,TV,FINISHED,237310,81.0,81.0,0.0,7.0,0.0,0.0,0.0,1.4,False,1
ゾン100～ゾンビになるまでにしたい100のこと～,Zom 100: Zombie ni Naru Made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,2023-07-09,2023,SUMMER 2023,1,12.0,BUG FILMS,Action | Adventure | Comedy | Horror | Supernatural,Seinen,TV,FINISHED,225547,76.0,76.0,2.0,7.0,4.0,0.0,2.0,3.0,False,1
ガチアクタ,Gachiakuta,Gachiakuta,2025-07-06,2025,SUMMER 2025,2,24.0,bones film,Action | Drama | Fantasy,Shounen,TV,FINISHED,222656,82.0,82.0,14.0,15.0,16.0,13.0,12.0,14.0,True,0
SPY×FAMILY Season 2,SPY×FAMILY Season 2,SPY x FAMILY Season 2,2023-10-07,2023,FALL 2023,2,12.0,WIT STUDIO | CloverWorks,Action | Comedy | Slice of Life | Supernatural,Shounen,TV,FINISHED,222206,80.0,80.0,4.0,10.0,10.0,1.0,6.0,6.2,False,1
呪術廻戦 死滅回游 前編,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,JUJUTSU KAISEN Season 3: The Culling Game Part 1,2026-01-09,2026,WINTER 2026,1,12.0,MAPPA,Action | Drama | Supernatural,Shounen,TV,FINISHED,220340,86.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1
ダンジョン飯,Dungeon Meshi,Delicious in Dungeon,2024-01-04,2024,WINTER 2024,2,24.0,TRIGGER,Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,208156,85.0,85.0,7.0,21.0,21.0,0.0,16.0,13.0,True,0
