titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media
呪術廻戦 第2期,Jujutsu Kaisen 2nd Season,JUJUTSU KAISEN Season 2,2023-07-06,2023,SUMMER 2023,2,23,MAPPA,Action | Drama | Supernatural,Shounen,TV,FINISHED,454370,86,86
葬送のフリーレン,Sousou no Frieren,Frieren: Beyond Journey’s End,2023-09-29,2023,FALL 2023,2,28,MADHOUSE,Adventure | Drama | Fantasy,Shounen,TV,FINISHED,434823,91,91
俺だけレベルアップな件,Ore dake Level Up na Ken,Solo Leveling,2024-01-07,2024,WINTER 2024,2,12,A-1 Pictures,Action | Adventure | Fantasy,Unknown,TV,FINISHED,408254,81,81
ダンダダン,Dandadan,DAN DA DAN,2024-10-04,2024,FALL 2024,2,12,Science SARU,Action | Comedy | Drama | Romance | Sci-Fi | Supernatural,Shounen,TV,FINISHED,352133,83,83
鬼滅の刃 刀鍛冶の里編,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,2023-04-09,2023,SPRING 2023,2,11,ufotable,Action | Adventure | Drama | Fantasy | Supernatural,Shounen,TV,FINISHED,348988,81,81
地獄楽,Jigokuraku,Hell’s Paradise,2023-04-01,2023,SPRING 2023,2,13,MAPPA,Action | Adventure | Mystery | Supernatural,Shounen,TV,FINISHED,335032,80,80
【推しの子】,[Oshi no Ko],Oshi No Ko,2023-04-12,2023,SPRING 2023,2,11,Doga Kobo,Drama | Mystery | Psychological | Supernatural,Seinen,TV,FINISHED,309140,84,84
薬屋のひとりごと,Kusuriya no Hitorigoto,The Apothecary Diaries,2023-10-22,2023,FALL 2023,2,24,OLM | TOHO animation STUDIO,Drama | Mystery,Seinen,TV,FINISHED,290856,88,88
俺だけレベルアップな件 Season 2 -Arise from the Shadow-,Ore dake Level Up na Ken: Season 2 - Arise from the Shadow,Solo Leveling Season 2 -Arise from the Shadow-,2025-01-05,2025,WINTER 2025,1,13,A-1 Pictures,Action | Adventure | Fantasy,Shounen,TV,FINISHED,279242,85,85
マッシュル-MASHLE-,MASHLE,MASHLE: MAGIC AND MUSCLES,2023-04-08,2023,SPRING 2023,2,12,A-1 Pictures,Action | Comedy | Fantasy,Shounen,TV,FINISHED,267953,76,76
怪獣８号,Kaijuu 8-gou,Kaiju No. 8,2024-04-13,2024,SPRING 2024,2,12,Production I.G,Action | Sci-Fi,Shounen,TV,FINISHED,260542,81,81
ヴィンランド・サガ SEASON2,VINLAND SAGA SEASON 2,Vinland Saga Season 2,2023-01-10,2023,WINTER 2023,1,24,MAPPA,Action | Adventure | Drama,Seinen,TV,FINISHED,255621,88,88
鬼滅の刃 柱稽古編,Kimetsu no Yaiba: Hashira Geiko-hen,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,2024-05-12,2024,SPRING 2024,1,8,ufotable,Action | Adventure | Drama | Fantasy | Supernatural,Shounen,TV,FINISHED,253302,80,80
無職転生Ⅱ ～異世界行ったら本気だす～,Mushoku Tensei II: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation Season 2,2023-07-03,2023,SUMMER 2023,2,13,Studio Bind,Adventure | Drama | Ecchi | Fantasy,Unknown,TV,FINISHED,237310,81,81
ゾン100～ゾンビになるまでにしたい100のこと～,Zom 100: Zombie ni Naru Made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,2023-07-09,2023,SUMMER 2023,1,12,BUG FILMS,Action | Adventure | Comedy | Horror | Supernatural,Seinen,TV,FINISHED,225547,76,76
ガチアクタ,Gachiakuta,Gachiakuta,2025-07-06,2025,SUMMER 2025,2,24,bones film,Action | Drama | Fantasy,Shounen,TV,FINISHED,222656,82,82
SPY×FAMILY Season 2,SPY×FAMILY Season 2,SPY x FAMILY Season 2,2023-10-07,2023,FALL 2023,2,12,WIT STUDIO | CloverWorks,Action | Comedy | Slice of Life | Supernatural,Shounen,TV,FINISHED,222206,80,80
呪術廻戦 死滅回游 前編,Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,JUJUTSU KAISEN Season 3: The Culling Game Part 1,2026-01-09,2026,WINTER 2026,1,12,MAPPA,Action | Drama | Supernatural,Shounen,TV,FINISHED,220340,86,86
ダンジョン飯,Dungeon Meshi,Delicious in Dungeon,2024-01-04,2024,WINTER 2024,2,24,TRIGGER,Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,208156,85,85
ダンダダン 第2期,Dandadan 2nd Season,DAN DA DAN Season 2,2025-07-04,2025,SUMMER 2025,2,12,Science SARU,Action | Comedy | Drama | Romance | Sci-Fi | Supernatural,Shounen,TV,FINISHED,205168,83,83
SAKAMOTO DAYS,SAKAMOTO DAYS,SAKAMOTO DAYS,2025-01-11,2025,WINTER 2025,2,11,TMS Entertainment,Action | Comedy,Shounen,ONA,FINISHED,201061,76,76
天国大魔境,Tengoku Daimakyou,Tengoku Daimakyo,2023-04-01,2023,SPRING 2023,1,13,Production I.G,Adventure | Mystery | Sci-Fi | Thriller,Seinen,TV,FINISHED,200674,81,81
葬送のフリーレン 第2期,Sousou no Frieren 2nd Season,Frieren: Beyond Journey’s End Season 2,2026-01-16,2026,WINTER 2026,2,10,MADHOUSE,Adventure | Drama | Fantasy,Shounen,TV,FINISHED,193055,88,88
Dr.STONE NEW WORLD,Dr. STONE: NEW WORLD,Dr. STONE New World,2023-04-06,2023,SPRING 2023,2,11,TMS Entertainment,Action | Adventure | Comedy | Sci-Fi,Shounen,TV,FINISHED,189495,81,81
山田くんとLv999の恋をする,Yamada-kun to Lv999 no Koi wo Suru,My Love Story with Yamada-kun at Lv999,2023-04-02,2023,SPRING 2023,1,13,MADHOUSE,Comedy | Drama | Romance,Shoujo,TV,FINISHED,188046,77,77
無職転生Ⅱ ～異世界行ったら本気だす～ 第2クール,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,2024-04-08,2024,SPRING 2024,2,12,Studio Bind,Adventure | Drama | Ecchi | Fantasy,Unknown,TV,FINISHED,184072,83,83
時々ボソッとロシア語でデレる隣のアーリャさん,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,Alya Sometimes Hides Her Feelings in Russian,2024-07-03,2024,SUMMER 2024,2,12,Doga Kobo,Comedy | Romance | Slice of Life,Unknown,TV,FINISHED,182369,75,75
薬屋のひとりごと 第2期,Kusuriya no Hitorigoto 2nd Season,The Apothecary Diaries Season 2,2025-01-10,2025,WINTER 2025,2,24,TOHO animation STUDIO | OLM,Drama | Mystery,Seinen,TV,FINISHED,180287,88,88
薫る花は凛と咲く,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms With Dignity,2025-07-06,2025,SUMMER 2025,1,13,CloverWorks,Comedy | Drama | Romance,Shounen,TV,FINISHED,179647,85,85
陰の実力者になりたくて！ 2nd season,Kage no Jitsuryokusha ni Naritakute! 2nd season,The Eminence in Shadow Season 2,2023-10-04,2023,FALL 2023,1,12,Nexus,Action | Comedy | Fantasy,Seinen,TV,FINISHED,178948,82,82
WIND BREAKER,WIND BREAKER,WIND BREAKER,2024-04-05,2024,SPRING 2024,2,13,CloverWorks,Action | Comedy | Drama,Shounen,TV,FINISHED,176139,77,77
Re:ゼロから始める異世界生活 3rd season,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Re:ZERO -Starting Life in Another World- Season 3,2024-10-02,2024,FALL 2024,2,16,WHITE FOX,Action | Adventure | Drama | Fantasy | Psychological | Romance | Thriller,Seinen,TV,FINISHED,173017,84,84
ようこそ実力至上主義の教室へ 3rd Season,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Classroom of the Elite Season 3,2024-01-03,2024,WINTER 2024,2,13,Lerche,Drama | Psychological,Unknown,TV,FINISHED,172930,78,78
シャングリラ・フロンティア,Shangri-La Frontier,Shangri-La Frontier,2023-10-01,2023,FALL 2023,2,25,C2C,Action | Adventure | Comedy | Fantasy | Sci-Fi,Shounen,TV,FINISHED,169294,80,80
マッシュル-MASHLE- 神覚者候補選抜試験編,MASHLE: Kami Shinkakusha Kouho Senbatsu Shiken-hen,MASHLE: MAGIC AND MUSCLES Season 2,2024-01-06,2024,WINTER 2024,2,12,A-1 Pictures,Action | Comedy | Fantasy,Shounen,TV,FINISHED,168939,78,78
僕のヒーローアカデミア 7,Boku no Hero Academia 7,My Hero Academia Season 7,2024-05-04,2024,SPRING 2024,2,21,bones,Action | Adventure,Shounen,TV,FINISHED,168140,82,82
転生したらスライムだった件 第3期,Tensei Shitara Slime Datta Ken 3rd Season,That Time I Got Reincarnated as a Slime Season 3,2024-04-05,2024,SPRING 2024,2,24,8-bit,Action | Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,168089,78,78
この素晴らしい世界に祝福を！３,Kono Subarashii Sekai ni Shukufuku wo! 3,KONOSUBA -God's blessing on this wonderful world! 3,2024-04-10,2024,SPRING 2024,2,11,Drive,Action | Adventure | Comedy | Ecchi | Fantasy,Unknown,TV,FINISHED,167284,82,82
その着せ替え人形は恋をする Season 2,Sono Bisque Doll wa Koi wo Suru Season 2,My Dress-Up Darling Season 2,2025-07-06,2025,SUMMER 2025,1,12,CloverWorks,Comedy | Ecchi | Romance | Slice of Life,Seinen,TV,FINISHED,167228,82,82
【推しの子】第2期,[Oshi no Ko] 2nd Season,Oshi no Ko Season 2,2024-07-03,2024,SUMMER 2024,2,13,Doga Kobo,Drama | Mystery | Psychological | Supernatural,Seinen,TV,FINISHED,165948,85,85
トモちゃんは女の子！,Tomo-chan wa Onnanoko!,Tomo-chan Is a Girl!,2023-01-05,2023,WINTER 2023,1,13,Lay-duce,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,161935,76,76
とんがり帽子のアトリエ,Tongari Boushi no Atelier,Witch Hat Atelier,2026-04-06,2026,SPRING 2026,1,13,BUG FILMS,Adventure | Drama | Fantasy,Seinen,ONA,RELEASING,158896,86,86
お隣の天使様にいつの間にか駄目人間にされていた件,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,The Angel Next Door Spoils Me Rotten,2023-01-07,2023,WINTER 2023,2,12,project No.9,Romance | Slice of Life,Unknown,TV,FINISHED,154264,78,78
地獄楽 第二期,Jigokuraku 2nd Season,Hell’s Paradise Season 2,2026-01-11,2026,WINTER 2026,1,12,MAPPA,Action | Adventure | Mystery | Supernatural,Shounen,TV,FINISHED,152279,82,82
ホリミヤ -piece-,Horimiya: piece,Horimiya: The Missing Pieces,2023-07-01,2023,SUMMER 2023,1,13,CloverWorks,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,150647,81,81
杖と剣のウィストリア,Tsue to Tsurugi no Wistoria,Wistoria: Wand and Sword,2024-07-07,2024,SUMMER 2024,2,12,Actas | Bandai Namco Pictures,Action | Comedy | Drama | Fantasy,Shounen,TV,FINISHED,148358,79,79
僕の心のヤバイやつ,Boku no Kokoro no Yabai Yatsu,The Dangers in My Heart,2023-04-02,2023,SPRING 2023,2,12,Shin-Ei Animation,Comedy | Romance | Slice of Life,Unknown,TV,FINISHED,147430,81,81
ワンパンマン３,One Punch Man 3,One-Punch Man Season 3,2025-10-12,2025,FALL 2025,2,12,J.C.STAFF,Action | Comedy | Sci-Fi | Supernatural,Seinen,TV,FINISHED,141276,50,50
盾の勇者の成り上がり Season 3,Tate no Yuusha no Nariagari Season 3,The Rising of the Shield Hero Season 3,2023-10-06,2023,FALL 2023,2,12,Kinema Citrus,Action | Adventure | Fantasy,Unknown,TV,FINISHED,140806,70,71
怪獣８号 第２期,Kaijuu 8-gou 2nd Season,Kaiju No. 8 Season 2,2025-07-19,2025,SUMMER 2025,1,11,Production I.G,Action | Sci-Fi,Shounen,TV,FINISHED,140568,78,78
勇者刑に処す 懲罰勇者9004隊刑務記録,Yuusha Kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,Sentenced to Be a Hero,2026-01-03,2026,WINTER 2026,2,12,Studio KAI,Action | Drama | Fantasy,Seinen,TV,FINISHED,140364,81,81
かぐや様は告らせたい -ファーストキッスは終わらない-,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Kaguya-sama: Love is War -The First Kiss That Never Ends-,2023-04-01,2023,SPRING 2023,1,4,A-1 Pictures,Comedy | Psychological | Romance | Slice of Life,Seinen,TV,FINISHED,138470,87,87
異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta","I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",2023-04-04,2023,SPRING 2023,1,13,Millepensee,Action | Adventure | Fantasy | Romance,Unknown,TV,FINISHED,137344,63,63
東京リベンジャーズ 聖夜決戦編,Tokyo Revengers: Seiya Kessen-hen,Tokyo Revengers Season 2,2023-01-08,2023,WINTER 2023,2,13,LIDENFILMS,Action | Drama | Romance | Supernatural,Shounen,TV,FINISHED,135808,75,75
わたしの幸せな結婚,Watashi no Shiawase na Kekkon,My Happy Marriage,2023-07-05,2023,SUMMER 2023,1,12,Kinema Citrus,Drama | Romance | Supernatural,Shoujo,TV,FINISHED,133619,76,76
アオのハコ,Ao no Hako,Blue Box,2024-10-03,2024,FALL 2024,2,25,Telecom Animation Film,Romance | Slice of Life | Sports,Shounen,ONA,FINISHED,132227,81,81
魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～ Ⅱ,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou II",The Misfit of Demon King Academy Ⅱ: History's Strongest Demon King Reincarnates and Goes to School with His Descendants,2023-01-08,2023,WINTER 2023,2,12,SILVER LINK.,Action | Fantasy,Unknown,TV,FINISHED,130405,68,68
ブルーロック VS. U-20 JAPAN,Blue Lock VS. U-20 JAPAN,BLUE LOCK Season 2,2024-10-05,2024,FALL 2024,2,14,8-bit,Action | Drama | Sports,Shounen,TV,FINISHED,129190,75,75
BLEACH 千年血戦篇-訣別譚-,BLEACH: Sennen Kessen-hen - Ketsubetsu-tan,BLEACH: Thousand-Year Blood War - The Separation,2023-07-08,2023,SUMMER 2023,2,13,Studio Pierrot,Action | Adventure | Supernatural,Shounen,TV,FINISHED,128846,86,86
ゆびさきと恋々,Yubisaki to Renren,A Sign of Affection,2024-01-06,2024,WINTER 2024,1,12,Ajiado,Romance | Slice of Life,Shoujo,TV,FINISHED,128743,82,82
Dr.STONE NEW WORLD 第2クール,Dr. STONE: NEW WORLD Part 2,Dr. STONE New World Part 2,2023-10-12,2023,FALL 2023,2,11,TMS Entertainment,Action | Adventure | Comedy | Sci-Fi,Shounen,TV,FINISHED,127310,83,83
光が死んだ夏,Hikaru ga Shinda Natsu,The Summer Hikaru Died,2025-07-06,2025,SUMMER 2025,2,12,CygamesPictures,Horror | Mystery | Psychological | Supernatural | Thriller,Seinen,TV,FINISHED,125173,80,81
タコピーの原罪,Takopii no Genzai,Takopi's Original Sin,2025-06-28,2025,SUMMER 2025,1,6,ENISHIYA,Drama | Psychological | Sci-Fi,Unknown,ONA,FINISHED,125142,86,86
スキップとローファー,Skip to Loafer,Skip and Loafer,2023-04-04,2023,SPRING 2023,2,12,P.A.WORKS,Comedy | Romance | Slice of Life,Seinen,TV,FINISHED,124720,81,81
アンデッドアンラック,Undead Unluck,Undead Unluck,2023-10-07,2023,FALL 2023,1,24,david production,Action | Comedy | Sci-Fi | Supernatural,Shounen,TV,FINISHED,123648,76,77
負けヒロインが多すぎる！,Make Heroine ga Oosugiru!,Makeine: Too Many Losing Heroines!,2024-07-14,2024,SUMMER 2024,2,12,A-1 Pictures,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,120377,81,81
Buddy Daddies,Buddy Daddies,Buddy Daddies,2023-01-07,2023,WINTER 2023,1,12,P.A.WORKS,Action | Comedy | Drama | Slice of Life,Unknown,TV,FINISHED,120077,80,80
炎炎ノ消防隊 参ノ章,Enen no Shouboutai: San no Shou,Fire Force Season 3,2025-04-05,2025,SPRING 2025,2,12,david production,Action | Drama | Sci-Fi | Supernatural,Shounen,TV,FINISHED,119522,78,78
君のことが大大大大大好きな100人の彼女,Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You",2023-10-08,2023,FALL 2023,2,12,Bibury Animation Studios,Comedy | Ecchi | Romance,Seinen,TV,FINISHED,118779,76,76
SPY×FAMILY Season 3,SPY×FAMILY Season 3,SPY x FAMILY Season 3,2025-10-04,2025,FALL 2025,1,13,WIT STUDIO | CloverWorks,Action | Comedy | Slice of Life | Supernatural,Shounen,TV,FINISHED,118444,82,82
この素晴らしい世界に爆焔を！,Kono Subarashii Sekai ni Bakuen wo!,KONOSUBA -An Explosion on This Wonderful World!,2023-04-06,2023,SPRING 2023,1,12,Drive,Adventure | Comedy | Fantasy,Seinen,TV,FINISHED,116966,74,74
神之塔 -Tower of God- 第2期,Kami no Tou: Tower of God 2nd Season,Tower of God Season 2,2024-07-07,2024,SUMMER 2024,1,26,The Answer Studio,Action | Adventure | Drama | Fantasy | Mystery,Unknown,TV,FINISHED,116391,66,66
NieR:Automata Ver1.1a,NieR:Automata Ver1.1a,NieR:Automata Ver1.1a,2023-01-08,2023,WINTER 2023,2,12,A-1 Pictures,Action | Drama | Fantasy | Mystery | Psychological | Sci-Fi,Unknown,TV,FINISHED,115966,73,73
治癒魔法の間違った使い方,Chiyu Mahou no Machigatta Tsukaikata,The Wrong Way to Use Healing Magic,2024-01-06,2024,WINTER 2024,2,13,Shin-Ei Animation | Studio Add,Action | Fantasy,Unknown,TV,FINISHED,115438,75,75
僕のヒーローアカデミア FINAL SEASON,Boku no Hero Academia FINAL SEASON,My Hero Academia FINAL SEASON,2025-10-04,2025,FALL 2025,1,11,bones film,Action | Adventure,Shounen,TV,FINISHED,115416,87,87
凸变英雄X,Tu Bian Yingxiong X,To Be Hero X,2025-04-06,2025,,1,24,Paper Plane Animation Studio | Studio LAN | Pb Animation,Action | Drama | Mystery | Supernatural,Unknown,ONA,FINISHED,114915,85,85
ゴブリンスレイヤーⅡ,Goblin Slayer II,GOBLIN SLAYER II,2023-10-06,2023,FALL 2023,1,12,LIDENFILMS,Action | Adventure | Fantasy,Unknown,TV,FINISHED,113072,71,71
チ。-地球の運動について-,Chi. Chikyuu no Undou ni Tsuite,Orb: On the Movements of the Earth,2024-10-05,2024,FALL 2024,1,25,MADHOUSE,Drama,Seinen,TV,FINISHED,110996,86,86
とんでもスキルで異世界放浪メシ,Tondemo Skill de Isekai Hourou Meshi,Campfire Cooking in Another World with my Absurd Skill,2023-01-10,2023,WINTER 2023,2,12,MAPPA,Adventure | Comedy | Fantasy,Unknown,TV,FINISHED,109704,76,76
月が導く異世界道中 第二幕,Tsuki ga Michibiku Isekai Douchuu 2nd Season,TSUKIMICHI -Moonlit Fantasy- Season 2,2024-01-08,2024,WINTER 2024,2,25,J.C.STAFF,Action | Adventure | Comedy | Fantasy,Shounen,TV,FINISHED,109469,78,78
ラザロ,Lazarus,LAZARUS,2025-04-06,2025,SPRING 2025,1,13,MAPPA,Action | Sci-Fi | Thriller,Unknown,TV,FINISHED,106376,70,70
魔都精兵のスレイブ,Mato Seihei no Slave,Chained Soldier,2024-01-04,2024,WINTER 2024,2,12,Seven Arcs,Action | Adventure | Drama | Ecchi | Fantasy | Romance,Shounen,TV,FINISHED,104886,67,67
文豪ストレイドッグス 第4シーズン,Bungou Stray Dogs 4th Season,Bungo Stray Dogs 4,2023-01-04,2023,WINTER 2023,2,13,bones,Action | Comedy | Mystery | Supernatural,Seinen,TV,FINISHED,104282,84,84
ラグナクリムゾン,Ragna Crimson,Ragna Crimson,2023-10-01,2023,FALL 2023,1,24,SILVER LINK.,Action | Adventure | Fantasy | Mystery,Shounen,TV,FINISHED,104116,74,74
Dr.STONE SCIENCE FUTURE,Dr. STONE: SCIENCE FUTURE,Dr. STONE SCIENCE FUTURE,2025-01-09,2025,WINTER 2025,2,12,TMS Entertainment,Action | Adventure | Comedy | Sci-Fi,Shounen,TV,FINISHED,104115,82,82
君は放課後インソムニア,Kimi wa Houkago Insomnia,Insomniacs After School,2023-04-11,2023,SPRING 2023,1,13,LIDENFILMS,Romance | Slice of Life,Seinen,TV,FINISHED,102530,80,80
BLEACH 千年血戦篇-相剋譚-,BLEACH: Sennen Kessen-hen - Soukoku-tan,BLEACH: Thousand-Year Blood War - The Conflict,2024-10-05,2024,FALL 2024,2,14,PIERROT FILMS,Action | Adventure | Supernatural,Shounen,TV,FINISHED,102490,86,86
しかのこのこのここしたんたん,Shikanoko Nokonoko Koshitantan,My Deer Friend Nokotan,2024-07-03,2024,SUMMER 2024,1,12,WIT STUDIO,Comedy | Fantasy | Slice of Life,Shounen,ONA,FINISHED,101736,67,67
シャングリラ・フロンティア 2nd season,Shangri-La Frontier 2nd Season,Shangri-La Frontier Season 2,2024-10-13,2024,FALL 2024,2,25,C2C,Action | Adventure | Comedy | Fantasy | Sci-Fi,Shounen,TV,FINISHED,101221,82,82
诡秘之主,Guimi Zhi Zhu,Lord of Mysteries,2025-06-28,2025,,2,13,B.CMAY PICTURES,Action | Drama | Fantasy | Mystery | Supernatural | Thriller,Unknown,ONA,FINISHED,100722,84,85
異世界のんびり農家,Isekai Nonbiri Nouka,Farming Life in Another World,2023-01-06,2023,WINTER 2023,2,12,Zero-G,Fantasy | Slice of Life,Unknown,TV,FINISHED,100660,74,74
PLUTO,PLUTO,PLUTO,2023-10-26,2023,FALL 2023,1,8,Studio M2,Action | Drama | Mecha | Mystery | Psychological | Sci-Fi | Thriller,Seinen,ONA,FINISHED,97532,84,84
Re:ゼロから始める異世界生活 4th season,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,Re:ZERO -Starting Life in Another World- Season 4,2026-04-08,2026,SPRING 2026,1,19,WHITE FOX,Action | Adventure | Drama | Fantasy | Psychological | Romance,Unknown,TV,RELEASING,97110,87,87
イジらないで、長瀞さん 2nd Attack,"Ijiranaide, Nagatoro-san 2nd Attack","DON'T TOY WITH ME, MISS NAGATORO 2nd Attack",2023-01-08,2023,WINTER 2023,1,12,OLM,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,96988,73,73
【推しの子】第3期,[Oshi no Ko] 3rd Season,【OSHI NO KO】Season 3,2026-01-14,2026,WINTER 2026,2,11,Doga Kobo,Drama | Mystery | Psychological | Supernatural,Seinen,TV,FINISHED,95839,86,86
